date,system,kernel,mesa_or_driver,backend,driver,tool,build_or_version,model,quant,cache_type_k,cache_type_v,target_prompt_tokens,ctx_size,n_predict,rep,request_wall_s,tokens_evaluated,tokens_predicted,truncated,prompt_eval_ms,prompt_tokens_log,prompt_eval_tps,eval_ms,eval_tokens_log,eval_tps,total_ms,total_tokens_log,error,source_log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,f16,f16,32768,33920,128,0,29.64309072494507,32765,128,False,27075.12,32765,1210.15,2505.77,128,51.08,29580.89,32893,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-32k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,f16,f16,32768,33920,128,1,29.354785442352295,32765,128,False,26787.9,32765,1223.13,2513.14,128,50.93,29301.04,32893,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-32k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,q8_0,q8_0,32768,33920,128,0,35.24834609031677,32765,128,False,32804.51,32765,998.8,2342.87,128,54.63,35147.38,32893,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-32k-q8_0-q8_0.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,q8_0,q8_0,32768,33920,128,1,33.667648792266846,32765,128,False,31262.13,32765,1048.07,2346.05,128,54.56,33608.18,32893,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-32k-q8_0-q8_0.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,q4_0,q4_0,32768,33920,128,0,33.726250410079956,32765,128,False,31401.44,32765,1043.42,2274.83,128,56.27,33676.27,32893,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-32k-q4_0-q4_0.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,q4_0,q4_0,32768,33920,128,1,33.42967343330383,32765,128,False,31087.03,32765,1053.98,2293.85,128,55.8,33380.88,32893,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-32k-q4_0-q4_0.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,f16,f16,65536,66688,128,0,73.7534430027008,65533,128,False,70566.18,65533,928.67,3083.69,128,41.51,73649.87,65661,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-64k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,f16,f16,65536,66688,128,1,73.28139328956604,65533,128,False,70079.77,65533,935.12,3094.28,128,41.37,73174.05,65661,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-64k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,q8_0,q8_0,65536,66688,128,0,92.40108323097229,65533,128,False,89685.2,65533,730.7,2604.96,128,49.14,92290.16,65661,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-64k-q8_0-q8_0.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,q8_0,q8_0,65536,66688,128,1,92.26656246185303,65533,128,False,89557.42,65533,731.74,2605.72,128,49.12,92163.14,65661,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-64k-q8_0-q8_0.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,q4_0,q4_0,65536,66688,128,0,90.15957999229431,65533,128,False,87560.82,65533,748.43,2489.93,128,51.41,90050.75,65661,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-64k-q4_0-q4_0.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3.6 35B-A3B,UD-Q4_K_M,q4_0,q4_0,65536,66688,128,1,89.78467154502869,65533,128,False,87184.09,65533,751.66,2497.79,128,51.25,89681.88,65661,,data/raw/2026-05-03/filled-kv-decode/qwen36-35b-a3b-64k-q4_0-q4_0.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,f16,f16,32768,33920,128,0,36.5378782749176,32764,128,False,33743.55,32764,970.97,2747.43,128,46.59,36490.98,32892,,data/raw/2026-05-03/filled-kv-decode/qwen3-next-80b-a3b-32k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,f16,f16,32768,33920,128,1,36.47953796386719,32764,128,False,33633.17,32764,974.16,2797.71,128,45.75,36430.89,32892,,data/raw/2026-05-03/filled-kv-decode/qwen3-next-80b-a3b-32k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,f16,f16,65536,66688,128,0,90.40915942192078,65532,128,False,86985.68,65532,753.37,3326.32,128,38.48,90312.01,65660,,data/raw/2026-05-03/filled-kv-decode/qwen3-next-80b-a3b-64k-f16-f16.log
2026-05-03,Beelink GTR9 Pro,6.19.4-061904-generic,Mesa 26.0.6,Vulkan,RADV,llama-server,b9010 d05fe1d7d,Qwen3-Next 80B-A3B,UD-Q4_K_XL,f16,f16,65536,66688,128,1,90.48733901977539,65532,128,False,87008.93,65532,753.16,3379.39,128,37.88,90388.32,65660,,data/raw/2026-05-03/filled-kv-decode/qwen3-next-80b-a3b-64k-f16-f16.log
