np,rep,phase,requests,total_tokens,batch_wall_s,aggregate_tps,mean_request_tps,mean_ttft_s,p95_ttft_s,mean_itl_s,p95_itl_s,errors
1,0,measure,1,128,2.1577017307281494,59.32237907451854,59.32237907451854,0.11786890029907227,0.11786890029907227,0.016061675830150213,0.016061675830150213,0
1,1,measure,1,128,2.163853168487549,59.15373642910676,59.15373642910676,0.11690831184387207,0.11690831184387207,0.016117676036564384,0.016117676036564384,0
1,2,measure,1,128,2.163775682449341,59.15585475806214,59.15585475806214,0.11665558815002441,0.11665558815002441,0.016119055860624537,0.016119055860624537,0
2,0,measure,2,256,2.877243757247925,88.97403960131041,44.49002273936186,0.25934886932373047,0.25953245162963867,0.020611816503870208,0.020611900044238473,0
2,1,measure,2,256,2.7456278800964355,93.23914644653463,46.62285073780147,0.16667068004608154,0.16688275337219238,0.020305229922917882,0.020305380107849602,0
2,2,measure,2,256,2.711622953414917,94.40840574003961,47.20750913818526,0.16830599308013916,0.16850614547729492,0.02002462251918522,0.02002470324358602,0
4,0,measure,4,512,4.00564432144165,127.81963622165254,31.96005927409931,0.2163304090499878,0.21668004989624023,0.0298320355377798,0.029835130286029004,0
4,1,measure,4,512,3.8495066165924072,133.00405766108895,33.25409425172755,0.2460489273071289,0.24642229080200195,0.028370875542558086,0.028371807158462645,0
4,2,measure,4,512,3.890273094177246,131.61029768484232,32.9053610386071,0.24847400188446045,0.24899601936340332,0.028672989428512693,0.028674382863082284,0
8,0,measure,8,1024,6.441774129867554,158.96241925841227,19.87290011287526,0.2676066756248474,0.26848673820495605,0.04860886180494714,0.04861025359686904,0
8,1,measure,8,1024,6.284369230270386,162.94395865023708,20.371095096237347,0.33457455039024353,0.3359861373901367,0.046841246640588356,0.04684441859327902,0
8,2,measure,8,1024,6.24251127243042,164.03654800311193,20.507672857961296,0.3200993239879608,0.3212263584136963,0.04662572492764691,0.04662797394699938,0
16,0,measure,16,2048,12.81469178199768,159.81656327287317,9.99000544313615,0.45134423673152924,0.45298051834106445,0.0973343439693526,0.09733752941522072,0
16,1,measure,16,2048,12.069511651992798,169.68375018403123,10.606838883655808,0.6018529087305069,0.6034023761749268,0.09028215037556145,0.09028332252202072,0
16,2,measure,16,2048,12.158612489700317,168.44027241882094,10.528945288023978,0.5883772671222687,0.5901286602020264,0.09109122828235777,0.0910930595998689,0
