run,phase,model,created_at,done_reason,wall_s,prompt_eval_count,prompt_eval_duration_ns,prompt_eval_tps,eval_count,eval_duration_ns,eval_tps,load_duration_ns,total_duration_ns,response_chars
0,cold,qwen3.6:35b-a3b,2026-05-03T03:36:04.222800262Z,length,9.597740411758423,19,124354778,152.78866084260952,128,2514783796,50.89900778094563,6891521399,9577472853,0
1,warm,qwen3.6:35b-a3b,2026-05-03T03:36:07.03563636Z,length,2.7935073375701904,19,120549946,157.61102041472503,128,2525378309,50.6854753380239,113745351,2792356395,0
2,warm,qwen3.6:35b-a3b,2026-05-03T03:36:09.823138364Z,length,2.787332534790039,19,119859508,158.51892200325068,128,2522096766,50.75142307208366,113531996,2786268123,0
3,warm,qwen3.6:35b-a3b,2026-05-03T03:36:12.620741266Z,length,2.797532796859741,19,121031680,156.9836922035619,128,2531571574,50.561477824525454,112805548,2796480098,0
4,warm,qwen3.6:35b-a3b,2026-05-03T03:36:15.419558853Z,length,2.7988085746765137,19,119831647,158.5557778405566,128,2536629744,50.46065564072326,110336355,2797665396,0
5,warm,qwen3.6:35b-a3b,2026-05-03T03:36:18.230746231Z,length,2.8112075328826904,19,120029084,158.294967909611,128,2548388056,50.2278291952566,111420945,2809966122,0
6,warm,qwen3.6:35b-a3b,2026-05-03T03:36:21.030357394Z,length,2.7993316650390625,19,119903269,158.4610674793195,128,2537709184,50.43919169581253,109873223,2798245705,0
7,warm,qwen3.6:35b-a3b,2026-05-03T03:36:23.834486998Z,length,2.804270029067993,19,120028837,158.29529365514057,128,2538228219,50.42887753033842,113873630,2802928748,0
8,warm,qwen3.6:35b-a3b,2026-05-03T03:36:26.639276192Z,length,2.8045594692230225,19,120149344,158.13652715407252,128,2538308435,50.42728386946404,114161343,2803123180,0
9,warm,qwen3.6:35b-a3b,2026-05-03T03:36:29.443854567Z,length,2.804478883743286,19,122627316,154.9410084128401,128,2537632916,50.44070763464198,112220983,2803281320,0
10,warm,qwen3.6:35b-a3b,2026-05-03T03:36:32.233152326Z,length,2.7892582416534424,19,119318923,159.2371060875231,128,2526682434,50.65931447402463,112679651,2788056404,0
